Fecha_datetime,Year,Month,Day,DOW,NO2_trop_mean,NO2_trop_std
2019-03-19,2019,3,19,1,6.702822038492852e-05,3.360119522973815e-05
2019-03-20,2019,3,20,2,2.810253138714824e-05,5.790243165343499e-06
2019-03-23,2019,3,23,5,3.0052159098915787e-05,8.996882827698266e-06
2019-03-24,2019,3,24,6,3.67346553581107e-05,1.4117073267323058e-05
2019-03-25,2019,3,25,0,0.000101019573843,3.89873684026747e-05
2019-03-26,2019,3,26,1,0.0001075919600177,6.611664108177439e-05
2019-03-27,2019,3,27,2,6.096544794334088e-05,2.8537996454104235e-05
2019-03-29,2019,3,29,4,7.65788081480423e-06,3.625153073302184e-05
2019-03-30,2019,3,30,5,7.570517355661073e-05,2.898313006303964e-05
2019-03-31,2019,3,31,6,5.85191984156976e-05,6.15154510889789e-05
2019-04-01,2019,4,1,0,0.0001151253997025,3.483212217682605e-05
2019-04-02,2019,4,2,1,8.793938122864033e-05,1.758510194049777e-05
2019-04-03,2019,4,3,2,6.647733663881189e-05,2.61561527645136e-05
2019-04-04,2019,4,4,3,8.419472737994043e-05,3.5583411905691475e-05
2019-04-05,2019,4,5,4,6.383292211970219e-05,3.123010149263978e-05
2019-04-06,2019,4,6,5,6.949890987195491e-05,1.0959986256565445e-05
2019-04-07,2019,4,7,6,5.1835308635163854e-05,1.575843546864885e-05
2019-04-10,2019,4,10,2,2.286707753523688e-05,4.655191821621317e-05
2019-04-11,2019,4,11,3,0.0001230612211197,1.9516815076971277e-05
2019-04-12,2019,4,12,4,6.866388776904685e-05,1.4705707861362064e-05
2019-04-13,2019,4,13,5,5.3753688447929997e-05,2.803872610117176e-05
2019-04-15,2019,4,15,0,0.0001083039555326,3.211388315977134e-05
2019-04-16,2019,4,16,1,9.270004898013773e-05,4.15258662081944e-06
2019-04-17,2019,4,17,2,1.7244156068781992e-05,1.379181783426102e-05
2019-04-18,2019,4,18,3,3.2805657763803665e-05,1.3625063689594992e-05
2019-04-19,2019,4,19,4,2.4960100841309368e-05,2.733049670210732e-05
2019-04-20,2019,4,20,5,6.0375468947468304e-05,3.8881365616906985e-05
2019-04-21,2019,4,21,6,7.910780048893935e-05,6.261103885052047e-05
2019-04-22,2019,4,22,0,0.0001574555546132,1.3079148651836384e-05
2019-04-23,2019,4,23,1,5.254601382839953e-05,4.159287594100124e-05
2019-04-24,2019,4,24,2,9.774907142494952e-05,2.7227304937356265e-05
2019-04-25,2019,4,25,3,8.792334962288886e-05,5.841520428050763e-05
2019-04-26,2019,4,26,4,0.0001200026333444,1.982284851352823e-05
2019-04-27,2019,4,27,5,7.371061920355396e-05,1.5126636584989653e-05
2019-04-28,2019,4,28,6,4.864181390742737e-05,2.931676100577234e-05
2019-04-29,2019,4,29,0,4.390627673852444e-05,1.7853567577291095e-05
2019-04-30,2019,4,30,1,6.058744167892433e-05,3.310594820672236e-05
2019-05-01,2019,5,1,2,8.688033639379067e-05,0.0
2019-05-02,2019,5,2,3,0.0004108073771931,8.199058769905749e-05
2019-05-03,2019,5,3,4,0.0001858280024155,1.6598977874252563e-05
2019-05-04,2019,5,4,5,6.827805995588646e-05,1.612963343945683e-05
2019-05-05,2019,5,5,6,4.380190458765294e-05,3.0523534849534804e-05
2019-05-06,2019,5,6,0,7.510424820978787e-05,1.6553552335261237e-05
2019-05-07,2019,5,7,1,3.417607481383479e-05,2.490940939277969e-06
2019-05-08,2019,5,8,2,1.4668999609486262e-05,1.5562585294792116e-05
2019-05-09,2019,5,9,3,6.971315305002575e-05,2.120508345596776e-05
2019-05-10,2019,5,10,4,8.943000868757933e-05,3.076442748295943e-05
2019-05-11,2019,5,11,5,7.902270136446378e-05,4.382502320359653e-05
2019-05-12,2019,5,12,6,9.40373540638801e-05,3.0940291258881825e-05
2019-05-14,2019,5,14,1,9.359949430272864e-05,2.8841856726487062e-05
2019-05-16,2019,5,16,3,9.629635516783929e-05,1.835308135485613e-05
2019-05-19,2019,5,19,6,5.835333585854745e-05,5.780172396640006e-05
2019-05-20,2019,5,20,0,0.0001549587811419,4.352758433925983e-05
2019-05-21,2019,5,21,1,0.0001304030273045,0.0001050412096933
2019-05-22,2019,5,22,2,0.0001561483580497,8.159411923975821e-05
2019-05-23,2019,5,23,3,0.0001795764179986,3.506604660561885e-05
2019-05-25,2019,5,25,5,5.726503601889688e-05,1.712056486312358e-05
2019-05-26,2019,5,26,6,3.457390416358133e-05,4.183662251227877e-05
2019-05-27,2019,5,27,0,0.0001247323195914,3.5403675148276275e-05
2019-05-28,2019,5,28,1,7.313358740845084e-05,8.142386064394557e-05
2019-05-29,2019,5,29,2,0.0001840463097608,3.603674762837609e-05
2019-05-30,2019,5,30,3,8.555863798073912e-05,3.4384692602612925e-05
2019-05-31,2019,5,31,4,8.281251304050161e-05,4.419222785586337e-05
2019-06-01,2019,6,1,5,0.000139289737262,2.2844512802033137e-05
2019-06-06,2019,6,6,3,6.110752896306016e-05,5.337246305403436e-05
2019-06-07,2019,6,7,4,0.0001453871403176,4.429328971089522e-05
2019-06-08,2019,6,8,5,6.759937099994493e-05,2.535472975896672e-05
2019-06-09,2019,6,9,6,7.771700559169971e-05,2.639134675693598e-05
2019-06-10,2019,6,10,0,8.244511927674285e-05,2.1706722733154928e-05
2019-06-11,2019,6,11,1,7.354827953006706e-05,7.430147183262425e-05
2019-06-12,2019,6,12,2,0.0001829217645569,6.828269152694472e-05
2019-06-13,2019,6,13,3,0.0001270854387398,9.037528001962296e-05
2019-06-14,2019,6,14,4,0.0001588264091372,4.061535483850444e-05
2019-06-15,2019,6,15,5,0.0001360983710772,3.362781907526157e-05
2019-06-16,2019,6,16,6,8.960247697313657e-05,3.355833673525617e-05
2019-06-17,2019,6,17,0,0.0001157410562724,4.159517925228536e-05
2019-06-18,2019,6,18,1,0.0001555066770436,7.975200299136531e-05
2019-06-19,2019,6,19,2,0.0001520470499007,3.589876149474564e-05
2019-06-20,2019,6,20,3,6.574906792030726e-05,1.5175292832086776e-05
2019-06-22,2019,6,22,5,6.637210042795895e-05,2.722316034783788e-05
2019-06-23,2019,6,23,6,7.910174290896248e-05,0.0001032820636157
2019-06-24,2019,6,24,0,0.0001917042542348,8.70191965240041e-05
2019-06-25,2019,6,25,1,0.0001959108638882,2.628991256535186e-05
2019-06-26,2019,6,26,2,6.986026235981164e-05,2.4665686622238008e-05
2019-06-28,2019,6,28,4,9.157462016856054e-05,3.1952458374040576e-05
2019-06-29,2019,6,29,5,6.930734397342775e-05,2.0209928459450977e-05
2019-06-30,2019,6,30,6,4.754110143189083e-05,2.3066709705539904e-05
2019-07-01,2019,7,1,0,6.68582064468682e-05,2.5480748491628063e-05
2019-07-02,2019,7,2,1,0.0001080038047031,2.853698970339815e-05
2019-07-03,2019,7,3,2,5.821032064208506e-05,1.1566167867052851e-05
2019-07-06,2019,7,6,5,1.432681970107458e-05,1.8466736444081572e-05
2019-07-08,2019,7,8,0,7.785618903749232e-05,5.441681800715842e-05
2019-07-09,2019,7,9,1,0.0001470690154594,7.173210621871892e-05
2019-07-10,2019,7,10,2,0.0001575023830871,7.199705819801719e-05
2019-07-11,2019,7,11,3,0.0001222598936997,3.844599168742714e-05
2019-07-12,2019,7,12,4,0.0001241926719208,5.9901727952370544e-05
2019-07-13,2019,7,13,5,0.0001613156274111,4.405080705965397e-05
2019-07-14,2019,7,14,6,0.0001031782464263,5.177335729788695e-05
2019-07-15,2019,7,15,0,7.696418452951285e-05,6.214869827916363e-06
2019-07-18,2019,7,18,3,3.458417788802745e-05,2.1493481291412603e-05
2019-07-19,2019,7,19,4,6.916136739789453e-05,2.7611294695594123e-05
2019-07-20,2019,7,20,5,8.116754211277079e-05,2.0932218601490983e-05
2019-07-21,2019,7,21,6,6.120960081377681e-05,2.207093249905915e-05
2019-07-22,2019,7,22,0,7.610870218801505e-05,3.819848777656316e-05
2019-07-23,2019,7,23,1,9.877841313572444e-05,3.7872777841821965e-05
2019-07-24,2019,7,24,2,9.86072469936186e-05,0.0001316081509362
2019-07-25,2019,7,25,3,0.0002540923637696,4.0665607106166376e-05
