country_region_code,country_region,region,date,tipo,value
AR,Argentina,Buenos Aires,2020-11-07,retail_and_recreation,-42
AR,Argentina,Buenos Aires,2020-11-08,retail_and_recreation,-47
AR,Argentina,Buenos Aires,2020-11-09,retail_and_recreation,-50
AR,Argentina,Buenos Aires,2020-11-10,retail_and_recreation,-46
AR,Argentina,Buenos Aires,2020-11-11,retail_and_recreation,-47
AR,Argentina,Buenos Aires,2020-11-12,retail_and_recreation,-49
AR,Argentina,Buenos Aires,2020-11-13,retail_and_recreation,-45
AR,Argentina,Buenos Aires,2020-11-14,retail_and_recreation,-44
AR,Argentina,Buenos Aires,2020-11-15,retail_and_recreation,-44
AR,Argentina,Buenos Aires,2020-11-16,retail_and_recreation,-48
AR,Argentina,Buenos Aires,2020-11-17,retail_and_recreation,-46
AR,Argentina,Buenos Aires,2020-11-18,retail_and_recreation,-49
AR,Argentina,Buenos Aires,2020-11-19,retail_and_recreation,-48
AR,Argentina,Buenos Aires,2020-11-20,retail_and_recreation,-45
AR,Argentina,Buenos Aires,2020-11-21,retail_and_recreation,-40
AR,Argentina,Buenos Aires,2020-11-22,retail_and_recreation,-42
AR,Argentina,Buenos Aires,2020-11-23,retail_and_recreation,-63
AR,Argentina,Buenos Aires,2020-11-24,retail_and_recreation,-51
AR,Argentina,Buenos Aires,2020-11-25,retail_and_recreation,-49
AR,Argentina,Buenos Aires,2020-11-26,retail_and_recreation,-48
AR,Argentina,Buenos Aires,2020-11-27,retail_and_recreation,-44
AR,Argentina,Buenos Aires,2020-11-28,retail_and_recreation,-48
AR,Argentina,Buenos Aires,2020-11-29,retail_and_recreation,-45
AR,Argentina,Buenos Aires,2020-11-30,retail_and_recreation,-44
AR,Argentina,Buenos Aires,2020-12-01,retail_and_recreation,-41
AR,Argentina,Buenos Aires,2020-12-02,retail_and_recreation,-47
AR,Argentina,Buenos Aires,2020-12-03,retail_and_recreation,-40
AR,Argentina,Buenos Aires,2020-12-04,retail_and_recreation,-37
AR,Argentina,Buenos Aires,2020-12-05,retail_and_recreation,-31
AR,Argentina,Buenos Aires,2020-12-06,retail_and_recreation,-36
AR,Argentina,Buenos Aires,2020-12-07,retail_and_recreation,-50
AR,Argentina,Buenos Aires,2020-12-08,retail_and_recreation,-58
AR,Argentina,Buenos Aires,2020-12-09,retail_and_recreation,-38
