fecha,cantidad
2020-09-18,295182
2020-09-19,168896
2020-09-20,122202
2020-09-21,256327
2020-09-22,272669
2020-09-23,283533
2020-09-24,289799
2020-09-25,292504
2020-09-26,145255
2020-09-27,109294
2020-09-28,251236
2020-09-29,272931
2020-09-30,277169
2020-10-01,278808
2020-10-02,305832
2020-10-03,168418
2020-10-04,112215
2020-10-05,268744
2020-10-06,279418
2020-10-07,292925
2020-10-08,301764
2020-10-09,324799
2020-10-10,195275
2020-10-11,120950
2020-10-12,148615
2020-10-13,293816
2020-10-14,301071
2020-10-15,310992
2020-10-16,334341
2020-10-17,197205
2020-10-18,178043
2020-10-19,281171
2020-10-20,281550
2020-10-21,299865
2020-10-22,293804
2020-10-23,329097
2020-10-24,197579
2020-10-25,109479
2020-10-26,295120
2020-10-27,311072
2020-10-28,308401
2020-10-29,307994
2020-10-30,341937
2020-10-31,218701
2020-11-01,167599
2020-11-02,300023
2020-11-03,314427
2020-11-04,321821
2020-11-05,336857
2020-11-06,352615
2020-11-07,232610
2020-11-08,182631
2020-11-09,311870
2020-11-10,324450
2020-11-11,337318
2020-11-12,342839
2020-11-13,369959
2020-11-14,229816
2020-11-15,183985
2020-11-16,314277
2020-11-17,328506
2020-11-18,329913
2020-11-19,345862
2020-11-20,370785
2020-11-21,244243
2020-11-22,186718
2020-11-23,186194
2020-11-24,331787
2020-11-25,333905
2020-11-26,342498
2020-11-27,370633
2020-11-28,223793
2020-11-29,182292
2020-11-30,332648
2020-12-01,346526
2020-12-02,349697
2020-12-03,370687
2020-12-04,399623
2020-12-05,270129
2020-12-06,198066
2020-12-07,209499
2020-12-08,204034
2020-12-09,369259
2020-12-10,373442
2020-12-11,393098
2020-12-12,276162
2020-12-13,191338
2020-12-14,361820
2020-12-15,374965
2020-12-16,381020
2020-12-17,390140
2020-12-18,417939
2020-12-19,292722
2020-12-20,223372
2020-12-21,393663
2020-12-22,414337
2020-12-23,415610
2020-12-24,270186
2020-12-25,162923
2020-12-26,219958
2020-12-27,193752
2020-12-28,348772
2020-12-29,372050
2020-12-30,378199
2020-12-31,241780
